treatment,round,max_firm_regret,total_current_profit
tarj_balanced_profit_compliance,136,342172.3966728601,2985179.6939422498
tarj_balanced_profit_compliance,137,287240.849274792,2631853.6967290286
tarj_balanced_profit_compliance,138,357752.03549847606,527720.765838219
tarj_balanced_profit_compliance,139,244608.3349574101,364187.86592904007
tarj_balanced_profit_compliance,140,231080.843953668,359784.04022187006
tarj_balanced_profit_compliance,141,200771.53127408875,253632.0103760929
tarj_balanced_profit_compliance,142,123103.67048040002,150071.94547396796
tarj_balanced_profit_compliance,143,44802.59880796802,93037.25656710009
tarj_balanced_profit_compliance,144,20634.97773374399,93037.25656710009
tarj_balanced_profit_compliance,145,16884.829468467004,83066.77050030004
tarj_balanced_profit_compliance,146,14036.049193707,83066.77050030004
tarj_balanced_profit_compliance,147,12470.455595466005,80861.55059430008
tarj_balanced_profit_compliance,148,11225.938400423998,80861.55059430008
tarj_balanced_profit_compliance,149,10501.140575772,80861.55059430008
tarj_balanced_profit_compliance,150,9914.394648366006,80861.55059430008
tarj_balanced_profit_compliance,151,11101.2057515304,132902.31533370318
tarj_balanced_profit_compliance,152,27995.162917896003,139528.19591361005
tarj_balanced_profit_compliance,153,51559.669488567,215497.2836354896
tarj_balanced_profit_compliance,154,91469.4450634305,250435.18503586054
tarj_balanced_profit_compliance,155,181831.28101458005,326718.75021359994
tarj_balanced_profit_compliance,156,261239.91515265295,474096.31348002504
tarj_balanced_profit_compliance,157,338278.57676880003,747693.79318538
tarj_balanced_profit_compliance,158,337684.80529140006,1227604.087477885
tarj_balanced_profit_compliance,159,328028.5523418601,1356417.21386964
tarj_balanced_profit_compliance,160,325648.961853432,1349528.887437072
tarj_balanced_profit_compliance,161,242625.05237881193,1250810.2137056282
tarj_balanced_profit_compliance,162,176515.76305493413,597574.3452331921
tarj_balanced_profit_compliance,163,118472.97223131594,366700.48097308795
tarj_balanced_profit_compliance,164,105092.79870241208,325969.8150850799
tarj_balanced_profit_compliance,165,66006.61361645273,208484.32345713596
tarj_balanced_profit_compliance,166,49586.323691903955,146413.90725779536
tarj_balanced_profit_compliance,167,20814.30005136899,93037.25656710009
tarj_balanced_profit_compliance,168,15862.233080142,83066.77050030004
tarj_compliance,1,14069.760720435,83066.77050030004
tarj_compliance,2,11997.089574327,80861.55059430008
tarj_compliance,3,10614.916978478996,80861.55059430008
tarj_compliance,4,10686.553972776002,80861.55059430008
tarj_compliance,5,11480.179497831004,80861.55059430008
tarj_compliance,6,14065.546779594,83066.77050030004
tarj_compliance,7,22266.093534861,92436.5776291001
tarj_compliance,8,47329.21406356802,108260.09596182004
tarj_compliance,9,135307.2221649481,138371.82762328003
tarj_compliance,10,227930.00647136391,145474.58964200402
tarj_compliance,11,317887.85113081196,207473.0314408226
tarj_compliance,12,333291.7253857082,788002.9491285179
tarj_compliance,13,360336.2256988232,1185666.90438258
tarj_compliance,14,424173.22392450005,1923434.5823917203
tarj_compliance,15,437932.64836839,2205608.64603045
tarj_compliance,16,433617.4450357501,2052392.1690717
tarj_compliance,17,388095.49889057106,1293901.193746806
tarj_compliance,18,351996.65135409,882597.8087695498
tarj_compliance,19,345180.596115762,202620.88092524646
tarj_compliance,20,322178.52452844614,147836.69912579996
tarj_compliance,21,257035.0363932781,147836.69912579996
tarj_compliance,22,137075.85284386808,134770.85864519997
tarj_compliance,23,39906.57991267198,93037.25656710009
tarj_compliance,24,18232.866247524,93037.25656710009
tarj_compliance,25,15223.286647161003,83066.77050030004
tarj_compliance,26,12455.004479048996,80861.55059430008
tarj_compliance,27,10748.358438443998,80861.55059430008
